isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9.78E+12,006057058,The Perennial Philosophy,,Aldous Huxley,Philosophy,http://books.google.com/books/content?id=YdaFEb_LE9YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Perennial Philosophy is defined by its author asThe metaphysic that recognizes a divine Reality substantial to the world of things and lives and minds."" With great wit and stunning intellect Aldous Huxley examines the spiritual beliefs of various religious traditions and explains them in terms that are personally meaningful.""",2004,4.23,336,2959
9.78E+12,60572000,A Crack in the Edge of the World,America and the Great California Earthquake of 1906,Simon Winchester,History,http://books.google.com/books/content?id=St5QRRhkp1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Unleashed by ancient geologic forces a magnitude 8.25 earthquake rocked San Francisco in the early hours of April 18 1906. Less than a minute later the city lay in ruins. Bestselling author Simon Winchester brings his inimitable storytelling abilities to this extraordinary event exploring the legendary earthquake and fires that spread horror across San Francisco and northern California in 1906 as well as its startling impact on American history and just as important what science has recently revealed about the fascinating subterranean processes that produced it—and almost certainly will cause it to strike again.,2006,3.78,419,5242
9.78E+12,60572965,Dead Witch Walking,,Kim Harrison,Fiction,http://books.google.com/books/content?id=KW1YBk2wPlIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,All the creatures of the night gather in""the Hollows"" of Cincinnati to hide to prowl to party ... and to feed. Vampires rule the darkness in a predator-eat-predator world rife with dangers beyond imagining -- and it’s Rachel Morgan's job to keep that world civilized. A bounty hunter and witch with serious sex appeal and an attitude she'll bring 'em back alive dead ... or undead.""",2004,4.04,416,97105
9.78E+12,60572973,The Good the Bad and the Undead,,Kim Harrison,Fiction,http://books.google.com/books/content?id=-hBqywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It's a tough life for witch Rachel Morgan sexy independent bounty hunter prowling the darkest shadows of downtown Cincinnati for criminal creatures of the night. She can handle the leather-clad vamps and even tangle with a cunning demon or two. But a serial killer who feeds on the experts in the most dangerous kind of black magic is definitely pressing the limits. Confronting an ancient implacable evil is more than just child's play -- and this time Rachel will be lucky to escape with her very soul.,2005,4.26,453,53112
9.78E+12,60574216,Men Are from Mars Women Are from Venus,The Classic Guide to Understanding the Opposite Sex,John Gray,Family & Relationships,http://books.google.com/books/content?id=MUw_dAtcRjEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Rediscover the most famous relationship book ever published Once upon a time Martians and Venusians met fell in love and had happy relationships together because they respected and accepted their differences. Then they came to Earth and amnesia set in: they forgot they were from different planets. Based on years of successful counseling of couples and individuals Men Are from Mars Women Are from Venus has helped millions of couples transform their relationships. Now viewed as a modern classic this phenomenal book has helped men and women realize how different they can be in their communication styles their emotional needs and their modes of behavior—and offers the secrets of communicating without conflicts allowing couples to give intimacy every chance to grow.",2004,3.54,368,126108
9.78E+12,60575816,Sabriel (adult),,Garth Nix,Fiction,http://books.google.com/books/content?id=ugSPY6Gi_Y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sabriel daughter of the necromancer Abhorsen must journey into the mysterious and magical Old Kingdom to rescue her father from the Land of the Dead.,2004,4.17,311,1296
9.78E+12,60577045,Slouching Toward Nirvana,New Poems,Charles Bukowski,Poetry,http://books.google.com/books/content?id=L_7nlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,In this place there are the dead the deadly and the dying. there is the cross the builders of the cross and the burners of the cross. the pattern of my life forms like a cheap shadow on the wall before me. my love what is left of it now must crawl to wherever it can crawl. the strongest know that death is final and the happiest are those gifted with the shortest journey.",2006,3.99,288,1901
9.78E+12,006057786,Bad Childhood---Good Life,How to Blossom and Thrive in Spite of an Unhappy Childhood,Laura Schlessinger,Self-Help,http://books.google.com/books/content?id=2sepdlitBW8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Exploring how the past influences the present the author discusses how to understand each individual's unique coping style and how to tap into the extraordinary quality of human spirit that will create the transition from victim to victor.,2006,3.92,272,502
9.78E+12,60578114,Cat Cross Their Graves,A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,http://books.google.com/books/content?id=L7LudFEjAdoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The beautiful serene village of Molena Point California is the type of place where people go to get away from the harsher realities of life––which is what attracted classic film star Patty Rose to buy the village inn and settle down to enjoy her golden years. But as the town gathers to celebrate and honor the beautiful aging actress with a festival of her old films Patty is brutally murdered––to the horror and shock of this peaceful burg. A gentle tortoiseshell cat Kit has been enjoying a retreat to the animal–loving actress's inn where she's spending time with her feline friends Dulcie and the slick tomcat sleuth Joe Grey. But her relaxation is cut short when she hears the gunshots that end Patty's life and sees her dead body sprawled on the inn's front steps. She glimpses the killer racing into the parking garage and soon follows his trail. Joe and Dulcie must now follow the naïve Kit's trail and keep her from getting into serious trouble. To complicate matters Joe discovers that Dulcie has been hiding a runaway child––one of the lucky humans that these special cats choose to talk to––who has now been kidnapped likely by the same man who killed their famous friend. In the end the little girl's abduction leads them to Patty's killer and the feline friends are all united––but they all must mourn a departed friend as they stand beside the newly laid grave of Patty Rose.",2005,4.3,385,481
9.78E+12,60578122,Cat Breaking Free,A Joe Grey Mystery,Shirley Rousseau Murphy,Fiction,http://books.google.com/books/content?id=-yFbmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The fur starts flying when a gang from L.A. comes up to tranquil Molena Point California and begins breaking into the village's quaint shops. The fur of Joe Grey Feline P.I. that is. After all Molena Point has been his home since he was a kitten eating scraps from the garbage behind the local delicatessen and he doesn't take well to marauding strangers. Joe even wonders whether the blonde who's moved into next to his human companion Clyde could be a part of the gang––she's been acting pretty suspicious lately. But when the strangers start trapping and caging feral cats––speaking cats like Joe and his girlfriend Dulcie––it proves too much for the intrepid four–footed detective. And when one of the gang is murdered and a second mysterious death comes to light he has no choice but to try to stop the crimes. Joe Dulcie and their tattercoat friend Kit who used to be a stray herself are deep into the investigation when they are able to release the three trapped cats. But as Kit leads them away to freedom will she herself return to that wild life?,2006,4.2,375,204
9.78E+12,006058033,Slider,A Novel,Patrick Robinson,Sports & Recreation,http://books.google.com/books/content?id=MCK_lgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Each summer on the fields of glorious Cape Marlin off the New England coast the nation's best college players gather to play the most important baseball of their lives. Jack Faber is a young hotshot pitcher with an unhittable slider and a rocket for a fastball. He plays for the fabled Seapuit Seawolves and dreams of making the Big Show. But a new coach the scowling Bruno Riazzi a former pro catcher resents the kid's celebrity status and decides to knock him down a peg or two. And he stops at nothing to make it happen. Humiliated Jack loses his lifelong art and with it his passion for the game as well as mysteriously his ability to throw. A devastated Jack Faber is released from the St. Charles College roster. But the Seawolves coaches won't give up on him. They bring Jack back to Cape Marlin determined to help him rediscover his lost talent. He finds himself again under the summer sun coaches and old friends standing by him. But in the end it will be up to Jack. Based on a true story Slider celebrates the national pastime a game that can break grown men's hearts -- as well as make them whole again.",2004,4.18,416,64
9.78E+12,60582502,The Black Dahlia Files,"The Mob, the Mogul, and the Murder That Transfixed Los Angeles",Don Wolfe,True Crime,http://books.google.com/books/content?id=F6PpPrKuUaMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1946 Elizabeth Short traveled to Hollywood to become famous and see her name up in lights. Instead the dark-haired beauty became immortalized in the headlines as theBlack Dahlia"" when her nude and bisected body was discovered in the weeds of a vacant lot. Despite the efforts of more than four hundred police officers and homicide investigators the heinous crime was never solved. Now after endless speculation and false claims bestselling author Donald H. Wolfe discovers startling new evidence—buried in the files of the Los Angeles District Attorney's Office for more than half a century. With the aid of archival photos news clippings and investigative reports Wolfe documents the riveting untold story that names the brutal murderer—the notorious Mafia leader Benjamin""Bugsy"" Siegel—and the motive—an unwanted pregnancy resulting from Short's involvement with the most powerful figure in Los Angeles Norman Chandler. But Wolfe goes even further to unravel the large-scale cover-up behind the case. Wolfe's extensive research based on the evidence he discovered in the recently opened LADA files makes The Black Dahlia Files the authoritative work on the murder that has drawn endless scrutiny but remained unsolved—until now.""",2006,3.84,448,600
9.78E+12,60584025,Metro Girl,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=X0OYbJSjxqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Alexandra (Barney) Barnaby roars onto the Miami Beach scene in hot pursuit of her missing baby brotherWild"" Bill. Leave it to the maverick of the family to get Barney involved with high-speed car chases a search for sunken treasure and Sam Hooker a NASCAR driver who’s good at revving a woman's engine. Engaged in a deadly race Bill has""borrowed"" Hooker's sixty-five-foot Hatteras and sailed off into the sunset...just when Hooker has plans for the boat. Hooker figures he'll attach himself to Barney and maybe run into scumbag Bill. And better yet maybe he'll get lucky in love with Bill's sweetie pie sister. The pedal will have to go to metal if Barney and Hooker want to be the first to cross the finish line save Bill Hooker's boat...and maybe the world.""",2005,3.62,374,28414
9.78E+12,60584033,Motor Mouth,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=mG5p4QA2zOwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"AlexandraBarney"" Barnaby returns to take on a whole new set of bad guys Florida heat colorful and dangerous characters and high-stakes adventure all the while romancing gorgeous race car driver Sam Hooker in an action-packed sequel to Metro Girl. 1 000 000 first printing.""",2006,3.67,312,21885
9.78E+12,60584750,Mystic River,,Dennis Lehane,Fiction,http://books.google.com/books/content?id=2U-ivgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,When they were children Sean Devine Jimmy Marcus and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car two did not and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered Sean is assigned to the case. His investigation brings him into conflict with Jimmy who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave who came home the night Jimmy's daughter died covered in someone else's blood. A tense and unnerving psychological thriller Mystic River is also an epic novel of love and loyalty faith and family in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.,2003,4.18,416,105317
9.78E+12,60586540,Great Short Works of Herman Melville,,Herman Melville,Fiction,http://books.google.com/books/content?id=6WgbDCDIe-QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Billy Budd Sailor and Bartleby the Scrivener are two of the most revered shorter works of fiction in history. Here they are collected along with 19 other stories in a beautifully redesigned collection that represents the best short work of an American master.As Warner Berthoff writes in his introduction to this volumeIt is hard to think of a major novelist or storyteller who is not also a first-rate entertainer . . . a master according to choice of high comedy of one or another robust species of expressive humour or of some special variety of the preposterous the grotesque the absurd. And Melville certainly is no exception. A kind of vigorous supervisory humour is his natural idiom as a writer and one particular attraction of his shorter work is the fresh further display it offers of this prime element in his literary character.""",2004,4.02,512,401
9.78E+12,60587032,The Day I Swapped My Dad for Two Goldfish,,Neil Gaiman,Juvenile Fiction,http://books.google.com/books/content?id=6EqMPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"I'll swap you my dad  I said.""Oh-oh "" said my little sister. What if you wanted your best friend's two goldfish so much that you'd swap anything for them even your father? What if your mother came home and found out what you'd done?""",2006,4.03,64,280
9.78E+12,60589280,Eleven Minutes,A Novel,Paulo Coelho,Fiction,http://books.google.com/books/content?id=Qp0EZu3GCYsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Eleven Minutes is the story of Maria a young girl from a Brazilian village whose first innocent brushes with love leave her heartbroken. At a tender age she becomes convinced that she will never find true love instead believing thatlove is a terrible thing that will make you suffer. . . ."" A chance meeting in Rio takes her to Geneva where she dreams of finding fame and fortune. Maria's despairing view of love is put to the test when she meets a handsome young painter. In this odyssey of self-discovery Maria has to choose between pursuing a path of darkness -- sexual pleasure for its own sake -- or risking everything to find her own""inner light"" and the possibility of sacred sex sex in the context of love. This P.S. edition features an extra 16 pages of insights into the book including author interviews recommended reading and more.""",2005,3.69,273,114826
9.78E+12,60589469,Zen and the Art of Motorcycle Maintenance,An Inquiry Into Values,Robert M. Pirsig,Psychology,http://books.google.com/books/content?id=KMRReyLPyXMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most important and influential books written in the past half-century Robert M. Pirsig's Zen and the Art of Motorcycle Maintenance is a powerful moving and penetrating examination of how we live . . . and a breathtaking meditation on how to live better. Here is the book that transformed a generation: an unforgettable narration of a summer motorcycle trip across America's Northwest undertaken by a father and his young son. A story of love and fear -- of growth discovery and acceptance -- that becomes a profound personal and philosophical odyssey into life's fundamental questions this uniquely exhilarating modern classic is both touching and transcendent resonant with the myriad confusions of existence . . . and the small essential triumphs that propel us forward.,2006,3.77,540,157734
9.78E+12,60590157,Ulysses S. Grant,The Unlikely Hero,Michael Korda,Biography & Autobiography,http://books.google.com/books/content?id=rvaqxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,One of the first two volumes in Harper's Eminent Lives series Korda brings his acclaimed storytelling talents to the life of Ulysses S. Grant – a man who managed to end the Civil War on a note of grace serve two terms as president write one of the most successful military memoirs in American literature and is today remembered as a brilliant general but a failed president. Ulysses S. Grant was the first officer since George Washington to become a four–star general in the United States Army and the only president between Andrew Jackson and Woodrow Wilson to serve eight consecutive years in the White House. In this succinct and vivid biography Michael Korda considers Grant's character and reconciles the conflicting evaluations of his leadership abilities. Grant's life played out as a true Horatio Alger story. Despite his humble background as the son of a tanner in Ohio his lack of early success in the army and assorted failed business ventures his unwavering determination propelled him through the ranks of military leadership and into the presidency. But while the general's tenacity and steadfastness contributed to his success on the battlefield it both aided and crippled his effectiveness in the White House. Assessing Grant both within the context of his time and in contrast to more recent American leaders Korda casts a benevolent eye on Grant's presidency while at the same time conceding his weaknesses. He suggests that though the general's second term ended in financial and political scandals the fact remains that for eight years Grant exerted a calming influence on a country that had only just emerged from a horrendous civil war. Ulysses S. Grant is an even–handed and stirring portrait of a man who guided America through a pivotal juncture in its history.",2004,3.88,176,410
9.78E+12,60590270,A Dirty Job,A Novel,Christopher Moore,Fiction,http://books.google.com/books/content?id=W8EPgwEP_hoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Charlie Asher is a pretty normal guy. A little hapless somewhat neurotic sort of a hypochondriac. He's what's known as a Beta Male: the kind of fellow who makes his way through life by being careful and constant -- you know the one who's always there to pick up the pieces when the girl gets dumped by the bigger/taller/stronger Alpha Male. But Charlie's been lucky. He owns a building in the heart of San Francisco and runs a secondhand store with the help of a couple of loyal if marginally insane employees. He's married to a bright and pretty woman who actually loves him for his normalcy. And she Rachel is about to have their first child. Yes Charlie's doing okay for a Beta. That is until the day his daughter Sophie is born. Just as Charlie -- exhausted from the birth -- turns to go home he sees a strange man in mint-green golf wear at Rachel's hospital bedside a man who claims that no one should be able to see him. But see him Charlie does and from here on out things get really weird. . . . People start dropping dead around him giant ravens perch on his building and it seems that everywhere he goes a dark presence whispers to him from under the streets. Strange names start appearing on his nightstand notepad and before he knows it those people end up dead too. Yup it seems that Charlie Asher has been recruited for a new job an unpleasant but utterly necessary one: Death. It's a dirty job. But hey somebody's gotta do it. Christopher Moore the man whose Lamb served up Jesus'missing years"" (with the funny parts left in) and whose Fluke found the deep humor in whale researchers' lives now shines his comic light on the undiscovered country we all eventually explore -- death and dying -- and the results are hilarious heartwarming and a hell of a lot of fun.""",2006,4.07,387,88016
9.78E+12,60593083,Quicksilver,Volume One of the Baroque Cycle,Neal Stephenson,Fiction,http://books.google.com/books/content?id=Qf1AlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Quicksilver is the story of Daniel Waterhouse fearless thinker and conflicted Puritan pursuing knowledge in the company of the greatest minds of Baroque-era Europe in a chaotic world where reason wars with the bloody ambitions of the mighty and where catastrophe natural or otherwise can alter the political landscape overnight. It is a chronicle of the breathtaking exploits ofHalf-Cocked Jack"" Shaftoe -- London street urchin turned swashbuckling adventurer and legendary King of the Vagabonds -- risking life and limb for fortune and love while slowly maddening from the pox. And it is the tale of Eliza rescued by Jack from a Turkish harem to become spy confidante and pawn of royals in order to reinvent Europe through the newborn power of finance. A gloriously rich entertaining and endlessly inventive novel that brings a remarkable age and its momentous events to vivid life Quicksilver is an extraordinary achievement from one of the most original and important literary talents of our time. And it's just the beginning ...""",2004,3.93,927,29981
9.78E+12,60593245,Every Book Its Reader,The Power of the Printed Word to Stir the World,Nicholas A. Basbanes,Literary Criticism,http://books.google.com/books/content?id=o4K_KMO1DWUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Inspired by a landmark exhibition mounted by the British Museum in 1963 to celebrate five eventful centuries of the printed word Nicholas A. Basbanes offers a lively consideration of writings that havemade things happen"" in the world works that have both nudged the course of history and fired the imagination of countless influential people. In his fifth work to examine a specific aspect of book culture Basbanes also asks what we can know about such figures as John Milton Edward Gibbon John Locke Isaac Newton Samuel Taylor Coleridge John Adams Frederick Douglass Abraham Lincoln Henry James Thomas Edison Helen Keller––even the notorious Marquis de Sade and Adolf Hitler––by knowing what they have read. He shows how books that many of these people have consulted in some cases annotated with their marginal notes can offer tantalizing clues to the evolution of their character and the development of their thought.""",2006,3.96,400,300
9.78E+12,60593636,Flirting With Danger,,Suzanne Enoch,Fiction,http://books.google.com/books/content?id=c5DcXFV6Xm4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In her dazzling romantic suspense debut USA Today bestselling author Suzanne Enoch brings us a thrilling tale about a thief who needs to prove she's no murderer and the millionaire who loves her. Samantha Jellicoe is a thief and proud of it. Raised to appreciate the finer things in life Sam has no trouble divesting the wealthy of their treasures. This all changed however the night she attempts to steal a valuable item from a Palm Beach estate. Before she knew what hit her a bomb goes off a guard is killed and Sam ends up saving millionaire Richard Addison. She's a good thief and will own up to her jobs but if anyone thinks to tie her to murder they better think again. On any other night having a one hundred plus pounds of female fling herself at you is a good thing. But on this particular night Richard Addison is mad as hell. Not only did he just have his gallery blown up-with him about to enter it-but the woman who rescued him didn't stick around to offer any explanations. When the dust settles Rick knows the only person with answers to his questions is the mystery woman. And if she thinks she can hide from him she better think again.,2005,3.93,384,3519
9.78E+12,60594527,Lost Horizon,A Novel,James Hilton,Fiction,http://books.google.com/books/content?id=QD1s4c3EHgUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Following a plane crash in the Himalayan mountains a lost group of Englishmen and Americans stumble upon the dream-like utopian world of Shangri-La where life is eternal and civilization refined in a new trade paperback edition of the classic 1933 novel. Reprint.",2004,3.92,241,11794
9.78E+12,60595183,The Doors of Perception and Heaven and Hell,,Aldous Huxley,Philosophy,http://books.google.com/books/content?id=rz3NJb2-9_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The acclaimed novelist and critic describes his personal experimentation with the little-known drug mescaline and explores the nature of visionary experience in an omnibus edition containing the two classic works The Doors of Perception and Heaven and Hell. Reissue.,2004,3.94,187,27716
9.78E+12,60598808,Thanksgiving,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=O-t1GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,When Megan Murphy discovered a floppy-eared rabbit gnawing on the hem of her skirt she meant to give its careless owner a piece of her mind but Dr. Patrick Hunter was too attractive to stay mad at for long. Soon the two are making Thanksgiving dinner for their families.,2006,3.6,228,10334
9.78E+12,60598840,Love Overboard,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=5pClJ0BTE2gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Dear Reader: In a previous life before the time of Plum I wrote twelve short romance novels. Red-hot screwball comedies each and every one of them. Nine of these stories were originally published by the Loveswept line between the years 1988 and 1992. All went out-of-print immediately and then could be found only at used bookstores and yard sales. I'm excited to tell you that those nine stories are now being re-released by HarperCollins. Love Overboard is second in the lineup and it's presented here in almost original form. I've done only minor editing to correct some embarrassing bloopers missed the first time around. And I changed the title because I thought the original title (Ivan Takes a Wife) was boring! Love Overboard is a romantic tale about a handsome ship's captain; a wary wench from Jersey City; a hundred-year-old two-masted schooner; and an entire town of shoemakers. There's some getting naked some blueberry pie more getting naked and at the end . . . Okay I won't tell you about the end but it's really good and it'll make you feel happy. I took my family on the road trip from heck to research this book. When we finally got to Maine it was all worthwhile because we fell in love with the boats and the people who sailed them. Enjoy!",2005,3.65,244,11223
9.78E+12,60598859,Back to the Bedroom,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=fcPjlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Dear Reader: In a previous life before the time of Plum I wrote twelve short romance novels. Red-hot screwball comedies each and every one of them. Nine of these stories were originally published by the Loveswept line between the years 1988 and 1992. All immediately went out of print and could be found only at used bookstores and yard sales. I'm excited to tell you that those nine stories are now being re-released by HarperCollins. Back to the Bedroom is presented here in almost original form. I've done only minor editing to correct some embarrassing bloopers missed the first time around. I lived in northern Virginia when I wrote Back to the Bedroom. My children were young and we spent a lot of time visiting the Washington D.C. museums and wandering through the historic neighborhoods. One day while strolling Capitol Hill I came upon two townhouses that captured my imagination. The houses were totally different -- a birthday cake of a house and a bran muffin of a house and yet they shared a common wall. I wondered about the people who lived inside the houses. And eventually the houses inspired Back to the Bedroom. Back to the Bedroom is the story of a young woman with the soul of a birthday cake living in a bran muffin house -- and a nice-looking guy with the substance of a bran muffin living in a birthday cake. They share some misadventures some romantic moments some misunderstandings and ultimately they turn into wedding cake. And for Plum fans you'll be interested to find that this was the first of the four romances to feature Elsie Hawkins the prototype for Grandma Mazur. Janet Evanovich,2005,3.67,234,9839
9.78E+12,60598891,The Rocky Road to Romance,,Janet Evanovich,Fiction,http://books.google.com/books/content?id=b42OAHDzYqUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Her tall dark and deliciously dangerous boss . . . When the delightful daffy Dog Lady of station WZZZ offered to take on the temporary job of traffic reporter Steve Crow tried to think of reasons to turn Daisy Adams down. Perhaps he knew that sharing the close quarters of a car with her for hours would give the handsome program director no room to resist her quirky charms. He'd always favored low-slung sportscars and high-heeled women but that was before he fell for a free spirit who caught crooks by accident loved old people and pets and had just too many jobs! Loving Daisy turned Steve's life upside down especially once he adopted Bob a huge dog masquerading as a couch potato. But was Daisy finally ready to play for keeps?",2004,3.67,249,9470
9.78E+12,60598964,Thomas Jefferson,Author of America,Christopher Hitchens,Biography & Autobiography,http://books.google.com/books/content?id=zV8P_3E1OCIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this unique biography of Thomas Jefferson leading journalist and social critic Christopher Hitchens offers a startlingly new and provocative interpretation of our Founding Father. Situating Jefferson within the context of America's evolution and tracing his legacy over the past two hundred years Hitchens brings the character of Jefferson to life as a man of his time and also as a symbolic figure beyond it. Conflicted by power Jefferson wrote the Declaration of Independence and acted as Minister to France yet yearned for a quieter career in the Virginia legislature. Predicting that slavery would shape the future of America's development this professed proponent of emancipation elided the issue in the Declaration and continued to own human property. An eloquent writer he was an awkward public speaker; a reluctant candidate he left an indelible presidential legacy. Jefferson's statesmanship enabled him to negotiate the Louisiana Purchase with France doubling the size of the nation and he authorized the Lewis and Clark expedition opening up the American frontier for exploration and settlement. Hitchens also analyzes Jefferson's handling of the Barbary War a lesser-known chapter of his political career when his attempt to end the kidnapping and bribery of Americans by the Barbary states and the subsequent war with Tripoli led to the building of the U.S. navy and the fortification of America's reputation regarding national defense. In the background of this sophisticated analysis is a large historical drama: the fledgling nation's struggle for independence formed in the crucible of the eighteenth-century Enlightenment and in its shadow the deformation of that struggle in the excesses of the French Revolution. This artful portrait of a formative figure and a turbulent era poses a challenge to anyone interested in American history -- or in the ambiguities of human nature.,2005,3.92,188,2181
9.78E+12,60598972,Muhammad,A Prophet for Our Time,Karen Armstrong,Biography & Autobiography,http://books.google.com/books/content?id=JUz3Z0iv_pgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Muhammad was born in 570 CE and over the following sixty years built a thriving spiritual community laying the foundations of a religion that changed the course of world history. There is more historical data on his life than on that of the founder of any other major faith and yet his story is little known. Karen Armstrong's immaculately researched new biography of Muhammad will enable readers to understand the true origins and spirituality of a faith that is all too often misrepresented as cruel intolerant and inherently violent. An acclaimed authority on religious and spiritual issues Armstrong offers a balanced in-depth portrait revealing the man at the heart of Islam by dismantling centuries of misconceptions. Armstrong demonstrates that Muhammad's life—a pivot point in history—has genuine relevance to the global crises we face today.",2006,4.04,256,1662
9.78E+12,60609176,Meeting Jesus Again for the First Time,The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,Religion,http://books.google.com/books/content?id=-_ieWUhA6V4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Of the many recent books on the historical Jesus none has explored what the latest biblical scholarship means for personal faith. Now in Meeting Jesus Again for the First Time Marcus Borg addresses the yearnings of those who want a fully contemporary faith that welcomes rather than oppresses our critical intelligence and openness to the best of historical scholarship. Borg shows how a rigorous examination of historical findings can lead to a new faith in Christ one that is critical and at the same time sustaining.Believing in Jesus does not mean believing doctrines about him "" Borg writes.""Rather it means to give one's heart one's self at its deepest level to . . . the living Lord."" Drawing on his own journey from a naive unquestioning belief in Christ through collegiate skepticism to a mature and contemporary Christian faith Borg illustrates how an understanding of the historical Jesus can actually lead to a more authentic Christian life—one not rooted in creeds or dogma but in a life of spiritual challenge compassion and community. In straightforward accessible prose Borg looks at the major findings of modern Jesus scholarship from the perspective of faith bringing alive the many levels of Jesus' character: spirit person teacher of alternative wisdom social prophet and movement founder. He also reexamines the major stories of the Old Testament vital to an authentic understanding of Jesus showing how an enriched understanding of these stories can uncover new truths and new pathways to faith. For questioning believers doubters and reluctant unbelievers alike Meeting Jesus Again for the First Time frees our understanding of Jesus' life and message from popular misconceptions and outlines the way to a sound and contemporary faith:""For ultimately Jesus is not simply a figure of the past but a figure of the present. Meeting that Jesus—the living one who comes to us even now—will be like meeting Jesus again for the first time.""",1995,4.14,160,3998
9.78E+12,60609192,Reading the Bible Again for the First Time,Taking the Bible Seriously but Not Literally,Marcus J. Borg,Religion,http://books.google.com/books/content?id=pf0mlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the vital challenges facing thoughtful people today is how to read the Bible faithfully without abandoning our sense of truth and history. Reading the Bible Again for the First Time provides a much-needed solution to the problem of how to have a fully authentic yet contemporary understanding of the scriptures. Many mistakenly believe there are no choices other than fundamentalism or simply rejecting the Bible as something that can bring meaning to our lives. Answering this modern dilemma acclaimed author Marcus Borg reveals how it is possible to reconcile the Bible with both a scientific and critical way of thinking and our deepest spiritual needs leading to a contemporary yet grounded experience of the sacred texts. This seminal book shows you how to read the Bible as it should be examined—in an approach the author callshistorical-metaphorical."" Borg explores what the Scriptures meant to the ancient communities that produced and lived by them. He then helps us to discover the meaning of these stories providing the knowledge and perspective to make the wisdom of the Bible an essential part of our modern lives. The author argues that the conventional way of seeing the Bible's origin authority and interpretation has become unpersuasive to millions of people in our time and that we need a fresh way of encountering the Bible that takes the texts seriously but not literally even as it takes seriously who we have become. Borg traces his personal spiritual journey describing for readers how he moved from an unquestioning childhood belief in the biblical stories to a more powerful and dynamic relationship with the Bible as a sacred text brimming with meaning and guidance. Using his own experience as an example he reveals how the modern crisis of faith is itself rooted in the misinterpretation of sacred texts as historical record and divine dictation and opens readers to a truer more abundant perspective. This unique book invites everyone—whatever one's religious background—to engage the Bible wrestle with its meaning explore its mysteries and understand its relevance. Borg shows us how to encounter the Bible in a fresh way that rejects the limits of simple literalism and opens up rich possibilities for our lives.""",2002,4.13,321,2875
